,Unnamed: 0,Country,Deaths / million,Deaths,Cases
0,,World[a],893,7111504,779056637
1,,Peru,6603,221067,4533436
2,,Bulgaria,5681,38778,1341065
3,,North Macedonia,5429,9991,352093
4,,Bosnia and Herzegovina,5123,16419,404289
5,,Hungary,5072,49124,2240737
6,,Croatia,4813,18805,1371473
7,,Slovenia,4686,9914,1366814
8,,Georgia,4519,17151,1864337
9,,Montenegro,4317,2654,251280
10,,Czech Republic,4115,43927,4886177
11,,Latvia,4104,7720,977798
12,,Moldova,4042,12290,656455
13,,Slovakia,3909,21395,1889642
14,,Greece,3864,40239,5860196
15,,San Marino,3693,126,25292
16,,United States,3618,1235885,103436829
17,,Romania,3604,69095,3603852
18,,Lithuania,3522,9923,1448050
19,,United Kingdom,3404,232112,25112865
20,,Brazil,3346,703774,37978000
21,,Italy,3329,198523,26969856
22,,Chile,3298,64497,5410454
23,,Martinique,3159,1104,230354
24,,Poland,3151,120979,6841336
25,,Armenia,3049,8785,454894
26,,Gibraltar,3002,113,20550
27,,Belgium,2949,34339,4907118
28,,Paraguay,2940,19880,735759
29,,Trinidad and Tobago,2934,4390,191496
30,,Argentina,2881,130839,10118953
31,,Portugal,2845,29643,5671586
32,,European Union[b],2831,1270487,186970603
33,,Sweden,2798,29351,2785768
34,,Russia,2777,404290,24901467
35,,Colombia,2760,142805,6402780
36,,Aruba,2708,292,44224
37,,Ukraine,2678,109937,5555243
38,,Serbia,2658,18057,2568005
39,,Guadeloupe,2654,1021,203235
40,,France,2616,168202,39058710
41,,Mexico,2605,335098,7629928
42,,Spain,2548,121880,13980340
43,,Bermuda,2547,165,18860
44,,Guam,2536,419,52287
45,,Estonia,2530,3417,617344
46,,Austria,2485,22534,6083769
47,,Tunisia,2427,29423,1153361
48,,French Polynesia,2318,650,79451
49,,Saint Lucia,2293,410,30254
50,,Uruguay,2269,7696,1043230
51,,Liechtenstein,2262,89,21649
52,,Suriname,2256,1406,82516
53,,Sint Maarten,2182,92,11051
54,,Bahamas,2135,849,39127
55,,Malta,2118,1119,125286
56,,Barbados,2100,593,109141
57,,Germany,2080,174979,38437952
58,,Finland,2058,11466,1517778
59,,Grenada,2035,238,19693
60,,Ecuador,2023,36064,1081993
61,,Panama,2006,8830,1045662
62,,Andorra,1994,159,48015
63,,Republic of Ireland,1912,9773,1766266
64,,Lebanon,1905,10947,1239904
65,,Kosovo,1869,3212,274279
66,,Bolivia,1853,22389,1212180
67,,Costa Rica,1849,9397,1242731
68,,Puerto Rico,1832,5938,1252713
69,,Hong Kong,1798,13466,2876106
70,,Montserrat,1787,8,1403
71,,Monaco,1720,67,17181
72,,Belize,1708,688,71493
73,,Denmark,1696,10012,3453415
74,,British Virgin Islands,1669,64,7661
75,,Curaçao,1645,305,45883
76,,South Africa,1644,102595,4073151
77,,Iran,1640,146837,7627863
78,,Switzerland,1611,14170,4491534
79,,Guyana,1596,1312,75520
80,,Collectivity of Saint Martin,1591,46,12324
81,,Antigua and Barbuda,1572,146,9106
82,,Jersey,1555,161,66391
83,,Luxembourg,1530,1000,401517
84,,United States Virgin Islands,1525,132,25389
85,,Cyprus,1450,1364,718652
86,,Caribbean Netherlands,1430,41,11922
87,,Canada,1424,55282,4819055
88,,Namibia,1422,4110,172557
89,,Israel,1395,12707,4841701
90,,French Guiana,1384,413,98041
91,,Isle of Man,1378,116,38008
92,,Seychelles,1370,172,51899
93,,Netherlands,1283,22986,8648106
94,,Jamaica,1279,3634,157666
95,,Albania,1275,3608,337234
96,,Jordan,1254,14122,1746997
97,,Saint Vincent and the Grenadines,1214,124,9674
98,,Eswatini,1170,1427,75356
99,,Turkey,1164,101419,17004725
100,,Botswana,1148,2801,330699
101,,Guatemala,1132,20205,1255261
102,,Dominica,1107,74,16047
103,,New Caledonia,1093,314,80203
104,,Malaysia,1076,37351,5329836
105,,Palestine,1075,5708,703228
106,,Honduras,1062,11114,473041
107,,Réunion,1056,921,494595
108,,Guernsey,1050,67,35326
109,,Norway,1050,5732,1551217
110,,Azerbaijan,1005,10353,836510
111,,Bahrain,1001,1536,696614
112,,Saint Kitts and Nevis,984,46,6607
113,,Oman,978,4628,399449
114,,Australia,963,25236,11861161
115,,Fiji,962,885,69047
116,,Kazakhstan,951,19072,1504370
117,,Turks and Caicos Islands,893,41,6933
118,,Libya,891,6437,507269
119,,Northern Mariana Islands,889,41,14985
120,,New Zealand,884,4538,2668236
121,,Anguilla,844,12,3904
122,,Mauritius,841,1074,332105
123,,Cabo Verde,802,417,64550
124,,Wallis and Futuna,782,9,3760
125,,Belarus,775,7118,994085
126,,Cuba,771,8530,1113834
127,,Sri Lanka,740,16907,672812
128,,Taiwan,739,17672,9970937
129,,American Samoa,702,34,8359
130,,South Korea,693,35934,34571873
131,,El Salvador,673,4230,202066
132,,Mongolia,630,2136,1011489
133,,Mayotte,612,187,42027
134,,Maldives,602,316,186694
135,,Japan,597,74694,33803572
136,,Philippines,586,66864,4173631
137,,Indonesia,581,162059,6830274
138,,Federated States of Micronesia,579,65,31765
139,,Iraq,575,25375,2465545
140,,Palau,562,10,6372
141,,Kuwait,559,2570,667290
142,,Faroe Islands,518,28,34658
143,,Cayman Islands,516,37,31472
144,,Iceland,489,186,211246
145,,Thailand,487,34993,5419906
146,,Saint Barthélemy,456,5,5507
147,,Morocco,436,16305,1279115
148,,Vietnam,433,43206,11624000
149,,Marshall Islands,424,17,16297
150,,Nepal,404,12034,1003946
151,,Brunei,399,182,350550
152,,Dominican Republic,390,4384,661103
153,,Greenland,374,21,11971
154,,India,374,533847,45056126
155,,Myanmar,362,19494,643401
156,,Singapore,358,2024,3006155
157,,Zimbabwe,357,5740,266436
158,,Sao Tome and Principe,353,80,6771
159,,Saint Pierre and Miquelon,347,2,3426
160,,Lesotho,310,709,36140
161,,Saudi Arabia,299,9646,841469
162,,Solomon Islands,254,199,25954
163,,Qatar,238,690,514524
164,,United Arab Emirates,229,2349,1067030
165,,Egypt,220,24830,516023
166,,Venezuela,207,5856,552743
167,,Mauritania,204,997,63891
168,,Zambia,202,4078,349892
169,,Afghanistan,197,7998,235214
170,,Comoros,193,161,9109
171,,Kiribati,183,24,5085
172,,Cambodia,177,3056,139326
173,,Bangladesh,174,29531,2052275
174,,Macau,174,121,3514
175,,Djibouti,166,189,15690
176,,Algeria,151,6881,272435
177,,Kyrgyzstan,147,1024,88953
178,,Samoa,144,31,17057
179,,Gambia,141,372,12627
180,,Syria,140,3163,57423
181,,Cook Islands,135,2,7375
182,,Malawi,130,2686,89168
183,,Gabon,126,307,49069
184,,Pakistan,125,30656,1580631
185,,Tonga,123,13,16992
186,,Senegal,111,1972,89437
187,,Rwanda,107,1468,133274
188,,Kenya,104,5689,344140
189,,Sudan,102,5046,63993
190,,Equatorial Guinea,101,183,17130
191,,Timor-Leste,100,138,23460
192,,Tuvalu,99,1,2943
193,,Laos,88,671,219060
194,,China[c],85,122398,99381761
195,,Nauru,84,1,5393
196,,Guinea-Bissau,84,177,9614
197,,Uganda,76,3632,172222
198,,Somalia,76,1361,27334
199,,Haiti,74,860,35027
200,,Cameroon,71,1974,125320
201,,Mozambique,68,2252,233927
202,,Papua New Guinea,65,670,46864
203,,Republic of the Congo,64,389,25234
204,,Ethiopia,60,7574,501324
205,,Yemen,56,2159,11945
206,,Liberia,54,294,8090
207,,Angola,54,1937,107487
208,,Madagascar,46,1428,68733
209,,Vanuatu,44,14,12019
210,,Ghana,44,1463,172779
211,,Nicaragua,36,245,16805
212,,Togo,35,290,39553
213,,Guinea,33,468,38593
214,,Mali,32,743,33199
215,,Eritrea,30,103,10189
216,,Uzbekistan,29,1016,175158
217,,Ivory Coast,27,835,88434
218,,Bhutan,26,21,63193
219,,Central African Republic,22,113,15492
220,,Burkina Faso,17,400,22217
221,,Sierra Leone,15,126,7985
222,,Democratic Republic of the Congo,14,1474,101010
223,,Nigeria,14,3155,267229
224,,South Sudan,13,147,18873
225,,Tanzania,13,846,43606
226,,Niger,12,315,9573
227,,Tajikistan,12,125,17786
228,,Benin,11,163,28036
229,,Chad,10,194,7702
230,,Burundi,1,15,54569
231,,Vatican City,0,0,26
232,,Niue,0,0,1092
233,,Falkland Islands,0,0,1923
234,,"Saint Helena, Ascension and Tristan da Cunha",0,0,2166
235,,Pitcairn Islands,0,0,4
236,,Tokelau,0,0,80
237,,North Korea,0,0,0
238,,Turkmenistan,0,0,0
239,"^ Countries which do not report data for a column are not included in that column's world total. ^ Data on member states of the European Union are individually listed, but are also summed here for convenience. They are not double-counted in world totals. ^ Does not include special administrative regions (Hong Kong and Macau) or Taiwan.","^ Countries which do not report data for a column are not included in that column's world total. ^ Data on member states of the European Union are individually listed, but are also summed here for convenience. They are not double-counted in world totals. ^ Does not include special administrative regions (Hong Kong and Macau) or Taiwan.","^ Countries which do not report data for a column are not included in that column's world total. ^ Data on member states of the European Union are individually listed, but are also summed here for convenience. They are not double-counted in world totals. ^ Does not include special administrative regions (Hong Kong and Macau) or Taiwan.","^ Countries which do not report data for a column are not included in that column's world total. ^ Data on member states of the European Union are individually listed, but are also summed here for convenience. They are not double-counted in world totals. ^ Does not include special administrative regions (Hong Kong and Macau) or Taiwan.","^ Countries which do not report data for a column are not included in that column's world total. ^ Data on member states of the European Union are individually listed, but are also summed here for convenience. They are not double-counted in world totals. ^ Does not include special administrative regions (Hong Kong and Macau) or Taiwan."
